renderers=16833 visible=4111 withPropertyBlock=0 instancedMaterialSlots=8 distinctKeys=70
count	visible	type|shader|material|pb|shadows
2	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 2|pb=0|shadows=On
10	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
6	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
12	0	MeshRenderer|Universal Render Pipeline/Lit|WoodenCrate|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
6	0	MeshRenderer|Universal Render Pipeline/Lit|Wg3_Partition|pb=0|shadows=On
2	0	MeshRenderer|Universal Render Pipeline/Lit|Leather 1|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|Metal 3|pb=0|shadows=On
1	0	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
lights enabled=423 activeInHierarchy=423 withShadowsActive=6 total=2651 wg3Lights=2651 wg3Renderers=13878 wg3Colliders=15830 wg3Transforms=20756
visibleRenderers=4111 visibleMeshTriangles=123544
distinctMaterials=88
