metric,n,mean,median,stddev,p10,p90
jaggedness,200,63.068687,61.541400,14.662013,48.958360,77.777630
occlusivity,200,0.324733,0.322000,0.067885,0.242550,0.407600
clustering,200,0.799387,0.799955,0.051676,0.733786,0.865568
drift,200,7.476642,7.189250,1.623518,5.874500,9.001090
isovist_area,200,290.372410,248.234500,203.572224,159.176700,428.753300
tile_entropy,200,0.638316,0.663950,0.110582,0.485650,0.755030
