seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
113,1,1,2500,2148,0.8592,0.4781,307.209,31990.053,176.790,5430.790,0.4683,0.02368,111.2207,2274.8655,0.69118,0.022720,8.3478,22.7231
114,1,1,2500,1740,0.6960,0.7207,148.333,5452.355,89.941,1723.885,0.2684,0.02891,61.2576,1368.7520,0.80686,0.027550,5.8386,14.4356
115,1,1,2500,2143,0.8572,0.7252,314.762,34528.945,157.239,6856.785,0.4310,0.02032,84.8652,2124.3870,0.75127,0.015955,8.2557,21.8845
116,1,1,2500,1768,0.7072,0.6089,345.278,38345.688,143.014,3141.121,0.3046,0.02142,70.8760,1160.2820,0.81021,0.017492,9.8055,34.7399
117,1,1,2500,2137,0.8548,0.4323,294.485,31499.484,146.507,5084.970,0.4011,0.02620,79.5854,1483.4952,0.71808,0.021130,8.1811,19.3209
118,1,1,2500,2101,0.8404,0.6418,304.732,31534.469,147.610,4493.787,0.3718,0.02879,77.5722,1322.7714,0.77221,0.018178,8.1329,21.9660
119,1,1,2500,1793,0.7172,0.6564,171.666,19115.617,95.993,2158.842,0.3580,0.01616,63.3585,924.2149,0.74977,0.019246,5.8596,13.4920
120,1,1,2500,1715,0.6860,0.7279,150.135,5123.175,89.102,1190.992,0.3233,0.01568,58.9715,933.3734,0.76888,0.021751,5.4345,10.3802
121,1,1,2500,1748,0.6992,0.6550,212.181,7242.312,81.704,636.127,0.1833,0.01328,36.9819,726.9380,0.90031,0.012543,6.3007,11.4113
122,1,1,2500,1716,0.6864,0.6789,195.967,12237.152,110.388,2626.162,0.3692,0.02665,69.3620,1410.4977,0.76253,0.021162,6.2902,13.0074
123,1,1,2500,2041,0.8164,0.5844,483.892,137887.672,143.142,5165.312,0.2609,0.02624,55.3408,891.9460,0.86822,0.012243,10.2753,33.2360
124,1,1,2500,1962,0.7848,0.5936,209.599,5948.453,109.801,1425.129,0.3371,0.01651,61.3527,786.4244,0.79022,0.018730,7.1847,17.4048
125,1,1,2500,1991,0.7964,0.7600,170.424,8934.421,90.099,1471.267,0.2842,0.01741,52.6033,662.0784,0.83043,0.016660,5.9751,12.5304
126,1,1,2500,1903,0.7612,0.6390,171.186,10944.942,105.176,2747.832,0.3335,0.02438,70.7840,1786.9244,0.76964,0.027618,6.1485,14.1943
127,1,1,2500,2024,0.8096,0.5689,178.384,8426.148,114.920,2829.082,0.4255,0.02490,78.3866,1637.0667,0.69870,0.023337,5.6995,10.4158
128,1,1,2500,1904,0.7616,0.6847,181.793,6245.088,100.807,1301.365,0.3020,0.01320,62.6519,1217.2277,0.79256,0.017447,6.8533,17.8713
129,1,1,2500,1831,0.7324,0.6058,933.405,193043.719,257.404,10562.627,0.4420,0.01519,76.8030,738.3666,0.83514,0.005436,13.0941,41.7010
130,1,1,2500,1167,0.4668,0.5078,147.492,6985.505,92.744,1876.359,0.2434,0.01494,63.0491,883.7318,0.81786,0.021497,6.5253,22.9177
131,1,1,2500,1916,0.7664,0.5610,409.535,57943.312,141.626,3597.587,0.3292,0.01736,55.3328,714.2573,0.78789,0.018136,9.1664,24.8696
132,1,1,2500,2065,0.8260,0.5443,219.538,13937.555,119.795,2841.675,0.3488,0.01978,70.9755,1352.3109,0.78200,0.019025,7.3476,22.0273
133,1,1,2500,2219,0.8876,0.2734,770.012,116164.852,361.079,18233.928,0.5702,0.04279,176.0553,2928.5608,0.64580,0.018917,12.3165,31.5238
134,1,1,2500,2015,0.8060,0.7804,227.987,17862.600,125.720,2827.837,0.3670,0.03171,84.0322,2401.8425,0.74958,0.029060,7.3484,20.9942
135,1,1,2500,1932,0.7728,0.7240,152.780,2947.181,97.681,922.962,0.3799,0.00880,66.6287,861.8701,0.74143,0.014686,5.6182,10.2681
136,1,1,2500,1509,0.6036,0.6889,162.958,8632.465,91.039,1606.418,0.2946,0.02172,59.2735,1203.7432,0.81420,0.020872,6.0410,15.3947
137,1,1,2500,1916,0.7664,0.7508,184.356,6838.711,112.833,2145.660,0.3542,0.01858,74.0354,1294.0360,0.75583,0.021073,6.4685,13.6584
