seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
129,1,1,2500,1835,0.7340,0.6057,953.620,195824.234,252.302,9919.427,0.4297,0.01494,72.6090,672.0560,0.83970,0.005058,13.1791,42.0405
130,1,1,2500,1146,0.4584,0.5050,144.363,7162.649,94.538,1846.907,0.2668,0.01167,67.3258,936.7542,0.79778,0.020606,6.5922,24.3580
131,1,1,2500,1907,0.7628,0.5619,406.543,60377.594,140.874,3768.903,0.3277,0.01884,55.5657,724.0541,0.78853,0.018035,9.1666,25.9684
132,1,1,2500,2069,0.8276,0.5438,244.681,19877.174,123.881,2973.477,0.3373,0.02237,69.1019,1226.7346,0.79297,0.017458,7.7235,24.3485
133,1,1,2500,2219,0.8876,0.2734,770.012,116164.852,361.079,18233.928,0.5702,0.04279,176.0553,2928.5608,0.64580,0.018917,12.3165,31.5238
134,1,1,2500,2010,0.8040,0.7806,227.315,17379.227,126.826,2978.589,0.3821,0.02575,83.2400,2155.8853,0.75254,0.026523,7.3764,21.2513
135,1,1,2500,1938,0.7752,0.7258,157.147,2978.387,96.892,921.736,0.3687,0.00966,64.2275,901.9321,0.75285,0.016007,5.6698,10.3259
136,1,1,2500,1506,0.6024,0.6895,158.425,11016.728,82.170,1312.343,0.2498,0.02143,53.6711,1314.4261,0.83561,0.023113,5.7839,15.8230
137,1,1,2500,1911,0.7644,0.7502,189.762,7300.052,111.756,2192.300,0.3453,0.01806,70.9519,1234.2633,0.76906,0.020528,6.6895,14.7880
138,1,1,2500,2167,0.8668,0.5545,241.204,11826.298,116.936,1424.443,0.3480,0.00995,61.2937,643.1161,0.78200,0.015627,7.2981,18.2219
139,1,1,2500,1917,0.7668,0.6906,179.186,9317.574,98.755,1133.124,0.3650,0.01553,62.1837,1074.8187,0.76911,0.018322,6.0657,13.0042
140,1,1,2500,1733,0.6932,0.4588,551.200,125672.266,203.138,11711.596,0.4157,0.03239,83.7933,2234.9990,0.79308,0.013100,10.6270,41.5314
141,1,1,2500,1960,0.7840,0.7547,304.568,48609.969,137.960,5002.088,0.3746,0.02777,71.9564,1304.2070,0.77518,0.021336,8.0299,19.4799
142,1,1,2500,2031,0.8124,0.7338,143.482,3910.866,88.254,1537.215,0.2807,0.02624,59.8583,1382.3707,0.80571,0.023845,5.6447,14.1673
143,1,1,2500,1734,0.6936,0.7652,183.195,7003.264,105.549,1665.661,0.3230,0.02087,67.7090,1410.5559,0.79038,0.022571,6.4696,15.0372
144,1,1,2500,2082,0.8328,0.5415,177.368,10471.714,95.429,1549.338,0.3150,0.01519,57.1702,829.5731,0.79650,0.017138,5.9565,11.6387
145,1,1,2500,1804,0.7216,0.6830,129.950,3911.093,85.399,1279.547,0.3041,0.01940,63.2217,1738.1455,0.80514,0.019075,5.5863,13.1178
146,1,1,2500,1794,0.7176,0.7359,184.982,10450.735,110.598,2207.589,0.3869,0.01555,71.7726,1091.7920,0.74736,0.016734,6.4992,14.4776
147,1,1,2500,1978,0.7912,0.6556,215.858,15510.018,107.011,2719.861,0.3121,0.02105,58.5367,1080.6440,0.80621,0.020082,7.1483,21.7672
148,1,1,2500,1847,0.7388,0.6290,214.312,20383.381,118.654,2948.394,0.3797,0.02666,75.3904,1586.3256,0.74182,0.020361,6.8966,17.5508
149,1,1,2500,1851,0.7404,0.7591,148.154,8329.175,90.270,2198.060,0.3218,0.01747,60.0551,1082.8640,0.78289,0.020647,5.7769,14.0383
150,1,1,2500,1292,0.5168,0.5536,298.827,15585.890,133.545,1852.484,0.3273,0.01518,68.9292,1081.5090,0.77131,0.025848,7.7367,18.1288
151,1,1,2500,1912,0.7648,0.6629,191.389,7382.829,106.646,1806.445,0.3599,0.02039,63.2110,883.7919,0.75634,0.023005,5.9086,8.8412
152,1,1,2500,2035,0.8140,0.7325,204.454,9606.985,117.068,1882.002,0.3797,0.01463,73.3831,1163.2573,0.72311,0.020338,6.8858,13.6799
153,1,1,2500,1737,0.6948,0.6955,137.504,4624.156,88.873,1177.632,0.3451,0.01291,63.2437,929.7541,0.75493,0.018541,5.3127,12.0373
154,1,1,2500,1948,0.7792,0.6855,162.487,5189.280,108.049,1867.060,0.3840,0.01648,77.3750,1396.0076,0.72448,0.023472,6.1741,14.1704
155,1,1,2500,2034,0.8136,0.6691,171.583,4675.951,97.256,1780.216,0.2801,0.03053,66.0441,2144.0002,0.81570,0.030129,6.5261,15.0143
156,1,1,2500,2012,0.8048,0.7356,152.816,6145.130,90.545,1469.587,0.3006,0.02545,61.1395,1285.5922,0.80322,0.025992,5.8785,14.1545
157,1,1,2500,1674,0.6696,0.6659,208.014,14887.261,102.260,1758.162,0.2420,0.02030,58.3209,990.4808,0.85602,0.016367,7.7498,28.9546
158,1,1,2500,1713,0.6852,0.6415,143.670,2679.476,87.609,918.408,0.2845,0.01527,58.5651,995.3798,0.80671,0.018627,6.2324,19.0650
159,1,1,2500,2030,0.8120,0.6332,167.223,6630.860,113.903,2977.275,0.3884,0.02703,80.3245,1763.1508,0.72090,0.026659,5.7650,12.4843
160,1,1,2500,1520,0.6080,0.6825,117.442,3607.552,75.479,1075.665,0.2677,0.01260,52.0818,704.0947,0.81717,0.014957,5.3074,16.1334
161,1,1,2500,1985,0.7940,0.7229,219.580,8857.639,102.155,1043.300,0.2947,0.01998,53.6475,762.1111,0.84131,0.013468,6.9925,13.9313
162,1,1,2500,2240,0.8960,0.4003,439.509,55905.477,136.204,1609.044,0.3320,0.00784,50.2696,563.2827,0.83534,0.010160,8.7081,18.4454
163,1,1,2500,2200,0.8800,0.3473,268.642,10853.207,110.555,1121.149,0.3049,0.01714,49.2987,437.4562,0.81820,0.016964,7.1749,14.1689
