metric,n,mean,median,stddev,p10,p90
jaggedness,200,65.797918,64.393400,14.661590,50.462650,82.675070
occlusivity,200,0.335112,0.337100,0.065900,0.251460,0.415720
clustering,200,0.788000,0.787125,0.050558,0.721827,0.848292
drift,200,7.238071,6.891200,1.638692,5.668940,8.934320
isovist_area,200,268.067460,227.608500,202.308961,143.729400,414.240600
tile_entropy,200,0.638371,0.663450,0.109579,0.486200,0.754770
