renderers=17011 visible=5524 withPropertyBlock=1 instancedMaterialSlots=51 distinctKeys=73
count	visible	type|shader|material|pb|shadows
10	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Emissive|pb=0|shadows=On
6	0	MeshRenderer|Universal Render Pipeline/Lit|Runtime_Transparent|pb=0|shadows=Off
1	0	MeshRenderer|Universal Render Pipeline/Lit|Reception Counter|pb=0|shadows=On
4	0	MeshRenderer|Universal Render Pipeline/Lit|BR_CrankFlashlight_Mat|pb=0|shadows=On
1	0	ParticleSystemRenderer|Sprites/Default|Sprites/Default|pb=1|shadows=Off
7	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|MaleSurvivorEyes|pb=0|shadows=On
16	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|FacelingChildRealForm|pb=0|shadows=On
7	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|Beard|pb=0|shadows=On
1	0	SkinnedMeshRenderer|Universal Render Pipeline/Lit|PhantomRealForm|pb=0|shadows=On
3	0	MeshRenderer|Universal Render Pipeline/Lit|Lit|pb=0|shadows=On
7	0	SkinnedMeshRenderer|Shader Graphs/Skin|MaleSurvivorSkin (Instance)|pb=0|shadows=On
lights enabled=452 activeInHierarchy=452 withShadowsActive=6 total=2652 wg3Lights=2651 wg3Renderers=13878 wg3Colliders=15830 wg3Transforms=20756
visibleRenderers=5524 visibleMeshTriangles=180540
distinctMaterials=172
