metric,n,mean,median,stddev,p10,p90
jaggedness,200,64.132693,62.847550,14.317626,50.043700,79.592870
occlusivity,200,0.329926,0.329250,0.066019,0.248830,0.414660
clustering,200,0.795193,0.796835,0.050836,0.727337,0.857483
drift,200,7.488063,7.290500,1.590603,5.925310,8.971920
isovist_area,200,289.359820,249.435500,201.624627,157.860700,427.923800
tile_entropy,200,0.637380,0.663900,0.109902,0.476900,0.748730
